regionname,countryname,project result,curr_project_cost,lendinginstr
Eastern and Southern Africa,Republic of Rwanda,Success,120000000,Program-for-Results Financing
Eastern and Southern Africa,Republic of Kenya,Fail,340000,Investment Project Financing
Western and Central Africa,Republic of Congo,Fail,80000000,Development Policy Lending
Western and Central Africa,Western and Central Africa,Fail,420000000,Investment Project Financing
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Fail,300000000,Investment Project Financing
Western and Central Africa,Western and Central Africa,Fail,60000000,Investment Project Financing
Western and Central Africa,Republic of Ghana,Fail,200000000,Investment Project Financing
Western and Central Africa,Gabonese Republic,Fail,50000000,Development Policy Lending
Western and Central Africa,Republic of Liberia,Fail,25000000,Development Policy Lending
Western and Central Africa,Republic of Chad,Fail,150000000,Investment Project Financing
Eastern and Southern Africa,Republic of Madagascar,Fail,100000000,Program-for-Results Financing
Western and Central Africa,Republic of Cameroon,Fail,100000000,Development Policy Lending
Western and Central Africa,Republic of Chad,Fail,120000000,Investment Project Financing
Eastern and Southern Africa,United Republic of Tanzania,Fail,112000000,Investment Project Financing
Eastern and Southern Africa,Republic of Mozambique,Fail,200000000,Program-for-Results Financing
Eastern and Southern Africa,Republic of South Sudan,Fail,40000000,Investment Project Financing
Eastern and Southern Africa,Republic of Mozambique,Fail,100000000,Program-for-Results Financing
Eastern and Southern Africa,Republic of Uganda,Fail,250000000,Investment Project Financing
Eastern and Southern Africa,Eastern and Southern Africa,Fail,200000000,Program-for-Results Financing
Eastern and Southern Africa,Eastern and Southern Africa,Fail,50000000,Investment Project Financing
Eastern and Southern Africa,Eastern and Southern Africa,Fail,300000000,Investment Project Financing
Eastern and Southern Africa,Somali Democratic Republic,Fail,50000000,Investment Project Financing
Western and Central Africa,Republic of Niger,Fail,250000000,Investment Project Financing
Eastern and Southern Africa,Union of the Comoros,Fail,20000000,Development Policy Lending
Eastern and Southern Africa,Eastern and Southern Africa,Fail,300000000,Investment Project Financing
Eastern and Southern Africa,United Republic of Tanzania,Fail,223000000,Investment Project Financing
Eastern and Southern Africa,Republic of Kenya,Fail,200000000,Investment Project Financing
Western and Central Africa,Federal Republic of Nigeria,Fail,750000000,Investment Project Financing
Western and Central Africa,Federal Republic of Nigeria,Fail,700000000,Investment Project Financing
Eastern and Southern Africa,Republic of Kenya,Fail,117100000,Program-for-Results Financing
Middle East and North Africa,Arab Republic of Egypt,Fail,500000000,Investment Project Financing
Western and Central Africa,Gabonese Republic,Fail,105000000,Investment Project Financing
Middle East and North Africa,Kingdom of Morocco,Fail,100000000,Program-for-Results Financing
Middle East and North Africa,Kingdom of Morocco,Fail,50000000,Investment Project Financing
Eastern and Southern Africa,Union of the Comoros,Fail,20000000,Investment Project Financing
Western and Central Africa,Islamic Republic of Mauritania,Fail,70000000,Investment Project Financing
Western and Central Africa,Republic of Cote d'Ivoire,Fail,200000000,Investment Project Financing
Western and Central Africa,Republic of The Gambia,Fail,20000000,Development Policy Lending
Eastern and Southern Africa,Republic of Angola,Fail,300000000,Development Policy Lending
Western and Central Africa,Republic of Guinea-Bissau,Fail,20000000,Investment Project Financing
Eastern and Southern Africa,Republic of Zambia,Fail,100000000,Investment Project Financing
Eastern and Southern Africa,Republic of Rwanda,Fail,50000000,Investment Project Financing
Eastern and Southern Africa,Republic of Madagascar,Fail,150000000,Investment Project Financing
Western and Central Africa,Western and Central Africa,Fail,600000000,Investment Project Financing
Western and Central Africa,Federal Republic of Nigeria,Fail,500000000,Investment Project Financing
Eastern and Southern Africa,Republic of Kenya,Fail,200000000,Investment Project Financing
Western and Central Africa,Republic of Congo,Fail,70000000,Investment Project Financing
